MainBreedId,SubBreedId,Lifespan,Nature,GrowthTypeId,Lif,Pow,IQ,Ski,Spd,Def,LifGainLvl,PowGainLvl,IQGainLvl,SkiGainLvl,SpdGainLvl,DefGainLvl,ArenaSpeedLvl,FramesPerGut
1,1,300,-45,2,50,80,170,150,140,60,1,2,5,4,4,1,5,7
1,2,280,-60,2,90,110,190,140,120,80,2,3,5,4,3,2,4,12
1,3,300,55,1,70,80,170,150,100,60,2,2,5,4,3,1,4,9
1,7,380,-70,3,50,80,170,100,140,60,2,2,5,3,4,1,5,8
1,8,320,15,3,80,110,150,120,100,130,2,3,4,3,3,3,3,11
1,9,320,-10,1,70,80,130,150,140,90,2,2,4,4,4,2,4,9
1,10,340,-50,4,80,110,140,150,100,130,2,3,4,4,3,3,4,10
1,12,300,55,2,50,80,170,150,140,60,1,2,5,4,4,1,5,8
1,14,300,25,1,70,100,110,150,140,60,2,3,3,4,4,1,4,10
1,16,280,70,1,50,80,170,150,110,60,1,2,5,4,3,2,4,11
1,17,360,-50,3,50,80,170,150,140,60,1,2,5,4,4,1,4,11
1,19,320,-20,1,70,110,130,150,140,60,2,3,4,4,4,1,4,9
1,23,340,-30,1,50,80,100,150,110,130,2,2,3,4,3,3,5,7
1,24,320,-60,2,50,80,170,150,110,60,1,2,5,4,3,1,4,9
1,25,320,-10,3,70,110,170,100,120,80,2,3,5,3,3,2,4,11
1,27,280,-75,4,70,80,170,150,110,60,2,2,5,4,3,1,4,9
1,29,320,-20,1,50,80,170,150,110,60,2,2,5,4,3,2,4,10
1,32,360,-25,2,150,80,170,100,110,60,1,2,5,3,3,1,4,9
1,34,360,40,2,100,80,140,150,110,60,3,2,4,4,3,1,4,7
1,35,280,-40,1,50,80,140,120,110,130,1,2,4,3,3,3,3,11
1,37,300,-5,3,100,80,140,150,110,60,3,2,4,4,3,1,4,10
1,38,280,-70,2,80,120,110,150,130,90,2,3,3,4,3,2,4,9
2,1,270,-55,2,80,130,170,120,100,110,2,4,5,3,3,2,3,14
2,2,250,-70,2,100,170,160,120,90,110,3,5,5,3,2,3,2,19
2,5,270,-5,2,100,170,130,120,90,110,3,5,3,3,2,3,2,17
2,6,270,35,1,100,170,140,120,130,110,3,5,4,3,3,3,2,18
2,8,290,0,3,100,170,140,80,90,130,3,5,4,2,2,4,2,19
2,10,310,-60,4,100,170,140,120,90,130,3,5,4,3,2,4,2,17
2,11,310,-30,1,100,150,140,120,90,130,3,4,4,3,2,4,2,18
2,12,270,40,2,100,140,160,130,90,80,3,4,5,4,3,2,3,15
2,16,250,55,1,100,130,160,120,90,110,3,4,5,3,2,3,2,18
2,17,330,-60,3,100,140,160,120,130,110,3,3,5,3,3,3,2,18
2,19,290,-30,1,100,170,130,120,90,110,3,5,4,3,2,3,2,17
2,23,290,-40,1,70,100,110,140,90,150,3,4,3,4,2,4,3,14
2,27,250,-80,4,100,130,160,140,90,110,3,4,5,4,2,3,2,17
2,35,250,-50,1,100,150,140,120,90,130,3,4,4,3,2,4,2,19
3,1,300,-10,2,70,100,140,160,110,80,2,3,4,5,3,2,4,11
3,2,280,-30,2,90,130,140,120,150,80,3,4,4,4,2,2,3,15
3,3,300,75,1,90,100,140,160,150,80,3,3,4,5,2,2,3,16
3,8,320,50,3,90,130,140,100,150,110,3,4,4,3,2,3,2,15
3,10,340,-15,4,90,100,140,130,150,120,3,3,4,4,2,3,3,13
3,11,340,30,1,90,100,110,140,150,120,3,3,3,4,2,3,3,15
3,12,300,85,2,90,100,140,160,170,80,3,3,4,5,3,2,3,11
3,19,320,30,1,90,100,110,160,150,80,3,3,3,5,2,2,3,13
3,27,280,-55,4,90,100,140,160,150,80,3,3,4,5,2,2,3,13
4,1,360,-20,3,90,40,120,100,110,30,3,2,3,3,3,1,3,10
4,4,400,55,3,170,50,30,100,110,60,5,2,2,3,3,1,2,12
4,29,380,25,3,130,50,80,100,110,90,4,2,3,3,3,2,2,13
5,2,280,-55,2,120,150,110,70,90,140,4,4,3,2,2,4,1,15
5,5,300,30,2,120,150,50,70,90,140,4,4,1,2,2,4,1,13
5,6,300,60,1,100,150,80,110,120,130,3,4,2,3,3,3,2,14
5,8,320,35,3,120,150,80,70,90,140,4,4,2,2,2,4,1,15
5,10,340,-35,4,120,150,80,70,90,140,4,4,2,2,2,4,1,13
5,12,300,60,2,100,110,70,130,90,120,3,3,2,3,3,3,2,11
5,19,320,15,1,120,150,50,100,90,110,4,4,1,3,2,3,1,13
5,27,280,-75,4,120,150,130,100,90,110,4,4,3,3,2,3,2,13
5,33,300,45,4,90,150,70,100,120,110,4,4,2,3,3,3,1,11
6,2,280,-35,2,90,140,130,150,110,80,2,4,4,4,3,2,3,17
6,6,300,70,1,100,150,110,160,170,90,2,4,3,4,4,2,3,16
6,8,320,50,3,90,150,120,110,100,80,2,4,3,3,3,3,2,17
6,9,320,30,1,90,130,110,140,150,80,2,4,3,4,4,2,3,15
6,16,300,70,1,119,136,130,140,157,100,2,3,3,5,4,4,3,16
6,23,320,10,1,80,110,90,150,120,100,2,3,2,4,3,3,4,12
6,27,280,-55,4,90,140,130,150,120,80,2,4,4,4,3,2,3,15
6,32,360,20,2,90,100,150,110,120,80,2,3,4,3,3,2,3,14
6,35,280,0,1,90,150,100,120,130,110,2,4,3,3,3,3,2,17
7,1,420,-60,2,60,30,140,90,150,50,2,1,4,2,4,1,4,8
7,2,400,-75,2,90,100,150,80,110,70,3,3,4,2,3,2,3,12
7,6,420,30,1,40,70,140,90,150,50,3,2,4,2,4,1,4,12
7,7,500,-85,3,20,10,150,40,160,30,3,1,4,1,4,1,4,9
7,8,440,-10,3,80,120,150,60,100,110,3,3,4,1,3,3,3,13
7,10,460,-60,4,50,40,140,60,120,100,3,2,4,2,3,3,3,11
7,19,440,-40,1,80,70,120,90,150,50,3,2,3,2,4,1,3,11
7,23,440,-45,1,60,50,120,100,130,110,3,1,3,3,3,3,4,8
7,27,400,-90,4,80,70,130,100,120,50,3,2,4,3,3,1,4,11
7,32,480,-40,2,60,50,150,40,120,30,3,1,4,1,3,1,3,10
8,1,330,-30,2,90,150,140,80,70,120,2,4,4,2,2,3,3,14
8,2,310,-55,2,100,220,130,90,60,150,3,5,4,2,1,4,1,18
8,5,330,30,2,110,180,100,70,60,160,3,5,2,1,1,5,1,16
8,6,330,60,1,100,170,120,80,60,140,3,5,3,2,2,4,2,17
8,7,410,-70,3,90,130,100,60,70,120,3,3,3,1,2,3,2,14
8,8,350,35,3,100,220,110,70,60,160,3,5,3,1,1,5,1,18
8,9,350,20,1,100,140,110,70,90,130,3,4,3,2,2,4,2,16
8,10,370,-35,4,110,200,100,80,60,180,3,5,3,2,1,5,1,16
8,11,370,10,1,120,150,110,80,40,200,3,4,3,2,1,5,1,18
8,12,330,60,2,120,140,110,130,70,100,3,4,3,3,2,3,2,14
8,14,330,40,1,100,160,110,70,130,120,3,5,2,2,3,3,2,17
8,15,370,60,3,140,210,70,50,40,150,4,5,2,1,1,4,1,17
8,16,310,70,1,100,150,110,60,50,130,3,4,4,2,1,4,2,18
8,18,350,35,3,110,150,140,80,60,160,3,5,4,1,1,4,2,18
8,19,350,15,1,110,160,120,90,70,130,3,5,3,2,2,4,1,16
8,23,350,-10,1,90,110,100,120,30,200,3,4,2,3,1,5,3,13
8,24,350,-50,2,110,130,140,70,60,150,3,4,4,2,1,4,1,16
8,27,310,-75,4,100,130,140,110,60,150,3,4,4,3,1,4,2,16
8,29,350,15,1,120,160,100,70,50,220,3,4,3,2,1,5,2,16
8,32,390,5,2,110,140,150,50,60,160,2,4,4,1,1,4,1,16
8,34,390,50,2,140,100,110,90,60,130,4,3,3,2,1,3,1,14
8,35,310,-20,1,130,140,110,40,60,170,3,4,3,1,1,5,1,18
8,37,330,25,3,150,160,110,90,20,130,4,4,3,2,1,4,1,17
8,38,310,-65,2,120,190,60,70,50,150,3,5,2,2,1,4,2,15
9,1,330,-40,2,70,110,120,140,100,90,2,3,3,4,3,2,4,11
9,2,330,-65,2,90,120,110,140,100,80,3,4,3,4,3,3,3,15
9,8,350,30,3,110,140,80,120,100,130,3,4,2,3,2,4,2,15
9,9,350,10,1,130,120,80,140,100,110,3,3,2,4,3,3,3,13
9,11,370,-5,1,130,120,80,150,110,140,3,3,2,4,3,4,3,15
9,12,330,55,2,130,120,100,150,110,90,3,3,3,4,3,2,3,11
9,14,330,35,1,120,140,80,150,130,100,3,4,2,4,4,2,3,14
9,15,370,50,3,130,120,80,110,90,100,4,3,2,3,2,3,2,14
9,16,310,65,1,140,130,100,150,110,120,3,3,3,4,3,3,3,15
9,17,390,-50,3,120,90,130,140,100,110,3,2,3,4,4,3,3,15
9,19,350,10,1,130,120,80,150,100,110,3,3,2,4,3,3,3,13
9,24,350,-60,2,140,110,100,150,120,130,3,3,3,4,3,3,3,13
9,27,310,-85,4,120,100,90,140,130,110,3,3,3,4,3,3,3,13
9,29,350,0,1,120,130,100,140,110,140,3,3,3,4,3,3,3,13
9,32,390,-10,2,90,130,100,120,140,110,2,3,3,3,3,3,3,13
9,34,390,45,2,130,90,80,140,120,100,4,2,2,4,3,2,3,11
9,35,310,-30,1,110,100,80,120,90,150,3,3,2,3,2,4,2,15
9,37,330,20,3,150,110,80,130,70,120,4,3,2,4,2,3,3,14
9,38,310,-75,2,130,100,60,150,120,110,3,3,2,4,3,3,3,12
10,1,360,-50,2,90,110,150,130,100,120,2,3,4,3,2,3,3,11
10,2,340,-65,2,100,130,150,110,70,140,3,4,4,3,1,4,2,16
10,5,360,5,2,100,150,80,110,30,180,3,4,2,3,1,5,2,14
10,8,380,10,3,120,150,100,90,60,170,3,4,3,2,1,5,2,16
10,10,400,-50,4,100,150,80,110,70,180,3,4,3,3,1,5,2,14
10,11,400,-25,1,120,140,90,110,50,160,3,4,3,3,1,5,2,15
10,12,360,50,2,130,110,120,140,90,100,3,3,3,4,2,3,3,12
10,21,380,65,3,100,120,130,110,90,150,3,3,4,3,2,4,2,14
10,23,380,-35,1,90,120,80,140,70,160,3,3,2,4,1,5,3,11
10,27,340,-80,4,100,120,150,140,80,130,3,4,4,4,1,4,2,14
10,32,420,-30,2,90,120,130,110,70,150,2,3,4,3,1,4,2,13
11,6,360,65,1,120,100,60,110,90,130,3,3,2,3,3,4,2,17
11,8,380,30,3,120,150,70,50,60,190,3,4,2,2,2,5,2,17
11,10,400,-40,4,130,120,80,110,100,170,3,3,2,3,2,5,2,16
11,11,400,-10,1,120,80,70,30,40,170,3,3,2,3,2,5,2,17
11,24,380,-50,2,100,120,130,110,70,140,3,3,3,3,2,4,2,15
11,27,340,-65,4,100,110,120,140,70,150,3,3,3,4,2,4,2,15
11,32,420,-15,2,90,110,130,100,60,150,2,3,3,3,2,4,2,15
12,1,300,-10,2,90,80,140,170,150,60,2,2,4,5,4,1,4,8
12,8,320,50,3,80,100,140,110,130,120,2,3,4,3,3,3,3,13
12,9,320,30,1,80,90,120,160,140,100,2,2,3,5,4,2,4,11
12,12,300,75,2,80,90,130,160,140,70,2,2,4,5,4,1,4,9
12,14,300,55,1,80,100,120,150,140,70,2,3,3,4,4,1,4,11
12,16,280,85,1,80,90,130,150,140,70,2,2,4,4,3,2,4,12
12,24,320,-28,2,90,80,130,170,100,60,2,2,4,5,3,1,4,10
12,29,320,35,1,70,90,150,160,120,80,2,2,4,5,3,2,4,11
12,34,360,65,2,100,90,120,150,110,50,3,2,4,4,3,1,3,9
12,35,280,5,1,100,90,140,150,130,120,2,2,4,4,3,3,3,13
12,37,300,40,3,80,90,150,120,110,50,3,2,4,4,3,1,4,11
12,38,280,-45,2,90,120,110,190,130,80,2,3,3,5,3,2,4,10
13,1,300,-40,2,70,90,160,170,130,60,2,3,4,5,3,1,5,8
13,2,280,-55,2,70,100,140,160,120,90,2,4,4,4,3,2,4,12
13,12,300,65,2,60,90,110,180,130,60,2,3,3,5,3,1,5,8
13,13,300,-25,2,60,100,110,160,150,70,2,3,3,5,3,1,5,8
13,17,360,-45,3,70,80,130,150,140,50,2,2,4,4,4,1,4,12
13,19,320,-10,1,60,100,110,170,120,50,2,3,3,5,3,1,4,10
13,23,320,-25,1,70,80,90,160,100,110,2,3,2,5,2,3,5,7
13,24,320,-50,2,60,90,140,160,110,40,2,3,4,5,3,1,4,10
13,25,320,5,3,70,100,110,150,130,60,2,3,3,4,3,2,4,11
13,26,320,40,1,60,100,110,160,120,70,2,3,3,5,3,2,4,9
13,27,280,-70,4,70,90,110,160,110,60,2,3,4,5,3,1,4,10
13,32,360,-20,2,90,80,150,140,110,70,2,3,4,4,3,1,4,10
14,1,300,-25,2,80,130,100,120,180,50,2,4,3,3,5,1,4,12
14,8,320,40,3,100,170,80,90,110,120,3,5,2,2,3,3,2,16
14,9,320,20,1,100,130,70,110,140,80,3,4,1,3,4,2,3,14
14,12,300,65,2,100,130,70,160,170,40,3,4,2,4,5,1,3,13
14,14,300,45,1,50,130,70,100,140,40,3,5,1,3,5,1,3,15
14,16,280,75,1,100,130,90,110,140,50,3,4,3,3,4,2,3,16
14,24,320,-45,2,90,140,100,110,130,70,3,4,3,3,4,1,3,14
14,29,320,20,1,100,140,60,110,130,90,3,4,2,3,4,2,3,15
14,34,360,55,2,120,110,90,100,140,70,4,3,2,3,4,1,3,12
14,35,280,-15,1,100,140,90,120,130,110,3,4,2,3,3,3,2,16
14,37,300,30,3,120,140,90,100,110,70,4,4,2,3,3,1,3,15
14,38,280,-60,2,110,160,70,120,140,100,3,5,1,3,4,2,3,13
15,2,340,-35,2,150,130,100,80,60,120,4,4,3,2,1,3,1,17
15,8,380,50,3,160,130,70,90,60,150,4,4,2,2,1,4,1,17
15,10,400,-15,4,150,140,70,80,50,160,4,4,2,2,1,4,1,15
15,12,360,75,2,150,120,50,100,70,90,4,3,2,3,2,2,2,13
15,14,360,55,1,150,130,50,90,100,80,4,4,1,2,3,2,2,16
15,15,400,70,3,180,130,50,70,60,150,5,4,1,2,1,3,1,16
15,17,420,-20,3,160,110,120,70,100,130,4,3,3,2,3,3,1,16
15,27,340,-55,4,160,140,100,110,70,120,4,4,3,3,1,3,2,15
15,29,380,30,1,150,120,90,100,70,130,4,3,2,3,1,3,2,15
16,1,270,0,2,100,130,170,120,110,90,2,3,5,3,3,2,4,13
16,8,290,55,3,90,160,120,110,100,150,2,4,4,2,2,4,2,17
16,9,290,40,1,100,130,140,110,90,100,2,3,4,3,2,3,3,15
16,12,270,80,2,90,120,160,130,110,100,2,3,5,4,3,2,3,14
16,14,270,60,1,100,150,110,130,120,90,2,4,3,3,3,2,3,16
16,16,250,90,1,110,130,160,120,90,100,2,4,5,3,2,3,3,17
16,24,290,-20,2,90,130,160,120,100,110,2,3,5,3,2,3,3,15
16,29,290,40,1,90,120,150,110,80,100,2,3,5,3,2,3,3,16
16,34,330,70,2,110,100,140,120,80,90,3,2,4,3,2,2,3,13
16,35,250,10,1,90,110,130,120,100,140,2,3,4,3,2,4,2,17
16,37,270,45,3,100,110,140,120,80,90,3,3,4,3,2,3,3,16
16,38,250,-35,2,90,130,140,120,100,110,2,3,3,3,2,3,3,15
17,2,370,-65,2,80,120,160,120,150,100,2,3,5,3,4,2,2,18
17,12,390,50,2,70,60,170,140,160,100,2,1,5,4,5,2,3,14
17,16,370,65,1,80,70,170,120,140,90,2,2,5,3,4,2,2,17
17,17,450,-55,3,70,60,170,140,160,100,2,1,5,3,5,2,2,17
17,24,410,-60,2,70,80,140,120,170,130,2,2,5,3,5,2,2,15
17,26,410,25,1,70,80,170,140,150,90,2,2,4,3,5,3,2,15
17,27,370,-80,4,80,70,140,110,170,100,2,2,5,4,4,2,2,15
18,1,330,-30,2,120,150,110,70,100,90,3,4,3,2,3,2,3,14
18,12,330,60,2,140,160,130,110,120,100,3,4,3,3,3,2,2,14
18,18,350,35,3,150,180,80,50,60,100,4,5,2,1,2,3,1,18
18,29,350,15,1,100,150,120,80,90,110,4,4,3,2,2,3,2,16
19,19,350,5,1,100,130,90,120,110,80,3,4,2,4,3,2,2,13
19,27,310,-90,4,100,150,120,140,110,90,3,4,3,4,3,2,2,13
20,1,360,-35,2,110,80,100,130,140,90,3,2,3,4,4,2,3,12
20,12,360,70,2,100,80,120,130,140,90,3,2,3,4,4,2,3,13
20,14,360,40,1,130,100,80,140,150,90,4,3,2,4,4,2,2,15
20,20,400,-10,4,130,80,70,120,140,90,4,2,2,4,4,2,2,15
20,29,380,-10,1,130,80,100,140,110,90,4,2,3,4,3,3,2,15
21,21,350,90,3,170,150,190,140,160,110,3,1,5,3,3,3,3,14
22,22,300,0,2,100,90,120,140,150,80,1,1,4,4,4,1,4,7
23,1,360,-40,2,60,50,100,160,80,110,2,2,3,5,2,3,5,6
23,23,350,-25,1,50,20,10,160,30,170,3,2,1,5,1,5,5,6
23,24,350,-50,2,70,90,100,170,60,160,3,2,3,5,1,4,4,8
24,1,330,-50,2,80,120,170,130,100,90,2,3,5,4,3,2,3,10
24,8,350,5,3,80,120,170,130,90,100,2,4,4,3,2,3,2,14
24,9,350,-25,1,80,120,150,130,90,100,2,3,4,4,2,2,2,12
24,12,330,45,2,80,120,160,130,110,100,2,3,5,4,3,2,3,11
24,14,330,15,1,80,150,130,140,110,100,2,4,3,4,3,2,2,13
24,16,310,60,1,80,120,150,130,90,100,2,3,5,4,2,2,2,14
24,24,350,-65,2,80,120,170,130,90,100,2,3,5,4,2,2,2,12
24,29,350,-25,1,100,110,150,130,90,120,2,3,5,4,2,3,2,13
24,34,390,30,2,120,100,140,130,80,90,3,2,4,4,2,2,2,10
24,35,310,-45,1,80,120,140,100,90,110,2,3,4,3,2,3,2,14
24,37,330,-15,3,110,120,140,130,90,100,3,3,4,4,2,2,2,13
24,38,310,-75,2,100,130,110,150,80,90,2,3,3,4,2,2,2,12
25,1,330,-40,2,90,130,150,120,110,100,2,3,4,3,3,2,3,12
25,12,330,55,2,120,130,150,110,100,90,3,3,4,3,3,2,3,13
25,14,330,35,1,130,140,110,100,120,90,3,4,3,2,3,2,2,16
25,17,390,-50,3,110,130,150,90,100,120,3,3,4,2,3,3,2,16
25,24,350,-60,2,130,150,140,110,80,100,3,4,4,3,2,3,2,14
25,25,350,15,3,140,160,150,110,100,130,3,4,4,2,2,3,2,16
25,27,310,-85,4,110,160,150,130,100,120,3,4,4,3,2,3,2,15
26,1,330,-20,2,100,110,120,140,150,130,2,3,4,4,4,3,4,9
26,2,310,-45,2,100,110,140,150,120,160,3,4,4,4,3,4,3,14
26,10,370,-25,4,100,110,120,150,130,140,3,3,3,4,3,4,3,12
26,12,330,65,2,110,100,120,140,150,130,3,3,3,4,4,3,3,10
26,17,390,-30,3,100,80,150,140,130,120,3,2,4,4,4,3,3,13
26,26,350,50,1,110,100,120,140,150,130,3,3,3,4,4,4,3,11
26,27,310,-65,4,100,110,140,150,130,110,3,3,4,4,3,3,3,12
26,29,350,20,1,110,100,130,140,120,150,3,3,3,4,3,4,3,12
27,1,270,-60,2,100,110,190,200,120,90,2,3,5,5,3,2,4,11
27,2,250,-80,2,120,140,190,160,100,90,3,4,5,4,2,2,3,15
27,8,290,-10,3,120,140,150,130,100,90,3,4,4,3,2,3,2,15
27,12,270,30,2,110,100,190,190,110,90,3,3,5,5,3,2,3,11
27,19,290,-40,1,110,120,160,200,90,100,3,3,4,5,2,2,3,13
27,27,250,-90,4,120,110,200,190,100,90,3,3,5,5,2,2,3,13
28,12,330,60,2,160,120,60,100,150,50,4,3,2,3,4,1,3,12
28,27,310,-80,4,150,140,130,110,100,40,4,4,3,3,3,1,2,14
28,28,350,25,3,190,120,30,40,150,70,5,4,1,1,4,1,2,14
28,29,350,10,1,140,130,80,70,120,90,4,3,2,2,3,2,2,14
29,1,330,-30,2,80,90,150,160,100,110,2,2,4,4,3,3,4,11
29,8,350,35,3,100,110,130,120,90,140,3,3,4,3,2,4,2,16
29,9,350,10,1,100,90,120,140,110,150,3,2,3,4,2,4,3,14
29,12,330,75,2,90,100,150,140,110,120,3,2,4,4,3,3,3,12
29,14,330,45,1,100,110,130,150,120,140,3,3,3,4,3,3,3,14
29,16,310,90,1,90,80,140,110,100,150,3,2,4,4,2,4,3,15
29,24,350,-45,2,100,90,150,130,80,120,3,2,4,4,2,3,3,13
29,29,350,-5,1,100,90,130,120,110,140,3,2,4,4,2,4,3,14
29,34,390,60,2,120,80,150,140,90,110,4,2,4,4,2,3,3,12
29,35,310,-25,1,100,90,130,120,80,150,3,2,4,3,2,4,2,16
29,37,330,20,3,110,90,140,130,100,120,4,2,4,4,2,3,3,14
29,38,310,-54,2,90,100,130,120,110,140,3,3,3,4,2,4,3,13
30,27,280,-50,4,70,90,150,170,120,60,3,2,4,5,3,2,4,11
30,30,300,80,4,50,10,150,110,100,60,3,1,4,5,4,2,4,9
31,8,350,40,3,100,120,50,60,140,80,3,3,2,2,2,5,2,13
31,10,370,-30,4,90,130,80,70,140,100,3,3,2,2,2,5,2,12
31,17,390,-35,3,90,60,110,80,120,130,3,2,3,2,3,4,2,13
31,19,350,20,1,80,120,60,130,90,110,3,3,2,3,2,4,2,11
31,23,350,-10,1,80,50,90,120,70,150,3,2,2,3,2,5,3,8
31,29,350,20,1,70,60,120,110,90,140,3,2,3,3,2,5,2,12
31,31,350,45,3,90,40,30,70,50,160,3,2,2,2,2,5,2,10
31,32,390,10,2,80,60,120,70,40,130,3,2,3,2,2,4,2,11
32,27,370,-65,4,200,80,170,120,90,60,2,2,5,3,2,2,2,12
32,32,450,-15,2,200,70,140,50,60,40,1,2,5,2,2,2,2,12
33,8,320,40,3,70,150,120,130,100,110,3,4,3,3,3,3,2,12
33,24,320,-40,2,80,100,130,150,140,50,3,3,4,4,4,1,2,10
33,33,300,50,4,70,80,130,140,100,50,3,3,3,4,5,1,2,8
34,1,390,-15,2,120,40,140,110,100,60,3,1,4,3,3,1,3,8
34,8,410,45,3,160,120,110,80,70,130,4,3,3,2,2,3,2,12
34,9,410,30,1,150,80,120,110,100,90,4,2,3,3,2,2,2,10
34,12,390,70,2,140,70,120,110,90,50,4,1,3,4,3,1,3,8
34,14,390,50,1,160,130,100,120,110,60,4,3,2,3,3,1,2,11
34,16,370,80,1,150,60,140,110,100,70,4,2,4,3,2,2,2,12
34,24,410,-35,2,140,80,150,110,90,50,4,2,4,3,2,1,2,10
34,29,410,25,1,140,50,120,110,100,80,4,1,3,3,2,2,2,10
34,34,450,60,2,160,40,120,110,100,70,5,1,3,3,2,1,2,8
34,35,370,-5,1,150,90,130,120,100,110,4,2,3,3,2,3,2,12
34,37,390,35,3,170,80,110,100,90,50,5,2,3,3,2,1,2,11
34,38,370,-50,2,130,70,120,110,100,90,4,2,2,3,2,2,2,9
35,1,270,-40,2,90,130,150,100,50,120,2,3,4,3,2,3,3,14
35,8,290,20,3,90,130,120,100,10,200,2,4,3,2,1,5,1,18
35,9,290,-10,1,90,110,120,100,30,150,2,3,3,3,2,4,2,16
35,12,270,60,2,100,110,120,100,40,130,2,3,3,3,2,3,2,14
35,14,270,30,1,80,140,100,90,110,120,2,4,2,2,3,3,2,17
35,16,250,75,1,90,110,130,100,30,150,2,3,4,2,1,4,2,18
35,24,290,-55,2,100,110,150,120,60,140,2,3,4,3,1,4,1,16
35,29,290,-15,1,80,110,120,100,40,220,2,3,3,3,1,5,2,16
35,34,330,45,2,110,100,130,90,40,120,3,2,3,2,1,3,1,14
35,35,250,-35,1,110,130,140,100,10,220,2,3,3,2,1,5,1,18
35,37,270,5,3,100,120,130,90,50,160,3,3,3,2,1,4,2,17
35,38,250,-65,2,90,120,100,130,60,160,2,3,2,3,1,4,2,15
36,8,380,15,3,150,160,70,100,90,140,4,4,2,2,2,4,1,18
36,14,360,25,1,160,140,60,110,150,120,4,4,1,3,4,3,2,17
36,16,340,70,1,120,140,110,100,90,130,3,4,3,3,3,4,2,18
36,34,420,40,2,140,120,90,110,100,130,4,3,2,3,3,3,1,14
36,36,400,-45,3,150,160,20,120,100,140,4,4,1,3,3,4,1,18
37,1,300,-35,2,130,110,140,120,80,90,3,3,4,3,2,2,3,12
37,8,320,30,3,140,150,120,100,40,110,4,4,3,2,1,3,2,16
37,9,320,15,1,140,100,120,110,90,80,4,3,3,3,2,2,2,14
37,12,300,60,2,150,100,110,130,90,80,4,3,3,4,2,2,3,13
37,14,300,40,1,130,140,80,120,110,90,4,4,2,3,3,2,2,15
37,16,280,70,1,150,100,130,110,60,80,4,3,4,3,1,2,2,16
37,24,320,-55,2,150,120,130,110,60,90,4,3,4,3,1,2,2,14
37,29,320,5,1,140,110,120,130,40,100,4,3,3,3,1,3,2,15
37,34,360,50,2,170,100,120,130,60,90,5,2,3,3,1,2,2,12
37,35,280,-25,1,150,120,110,130,70,90,4,3,3,3,1,3,2,16
37,37,300,20,3,180,100,110,120,60,90,5,3,3,3,1,2,2,15
37,38,280,-70,2,160,120,100,110,50,90,4,3,2,3,1,2,2,13
38,1,270,-60,2,100,130,110,140,120,90,2,3,3,4,3,2,4,9
38,8,290,-5,3,130,150,100,120,90,140,3,4,2,3,2,4,2,14
38,9,290,-30,1,110,150,60,140,100,120,3,4,1,4,2,3,3,12
38,12,270,35,2,120,130,80,160,110,100,3,3,2,4,3,2,3,10
38,14,270,5,1,130,160,90,150,120,100,3,4,1,4,3,2,3,13
38,16,250,50,1,120,150,100,140,70,130,3,4,3,4,2,3,3,13
38,24,290,-40,2,120,140,110,130,80,100,3,4,3,4,2,3,3,13
38,29,290,-30,1,110,120,90,150,100,130,3,3,2,4,2,3,3,12
38,34,330,20,2,160,120,100,150,90,70,4,3,2,4,2,2,3,10
38,35,250,-50,1,120,140,90,110,100,150,3,4,2,3,2,4,2,14
38,37,270,-20,3,120,130,70,150,90,110,4,4,2,4,2,3,3,13
38,38,250,-80,2,120,160,100,150,110,130,3,4,1,4,2,3,3,11
